Column1,Country,Year,Series,Value
Philippines1995,Philippines,1995,Supply per capita (gigajoules),18
Philippines2000,Philippines,2000,Supply per capita (gigajoules),20
Philippines2005,Philippines,2005,Supply per capita (gigajoules),17
Philippines2010,Philippines,2010,Supply per capita (gigajoules),18
Philippines2013,Philippines,2013,Supply per capita (gigajoules),18
Philippines2014,Philippines,2014,Supply per capita (gigajoules),19
Philippines2015,Philippines,2015,Supply per capita (gigajoules),20
Poland1990,Poland,1990,Primary energy production (petajoules),4350
Poland1995,Poland,1995,Primary energy production (petajoules),4161
Poland2000,Poland,2000,Primary energy production (petajoules),3318
Poland2005,Poland,2005,Primary energy production (petajoules),3281
Poland2010,Poland,2010,Primary energy production (petajoules),2808
Poland2013,Poland,2013,Primary energy production (petajoules),2969
Poland2014,Poland,2014,Primary energy production (petajoules),2820
Poland2015,Poland,2015,Primary energy production (petajoules),2834
Poland1990,Poland,1990,Net imports [Imports - Exports - Bunkers] (petajoules),99
Poland1995,Poland,1995,Net imports [Imports - Exports - Bunkers] (petajoules),58
Poland2000,Poland,2000,Net imports [Imports - Exports - Bunkers] (petajoules),438
Poland2005,Poland,2005,Net imports [Imports - Exports - Bunkers] (petajoules),686
Poland2010,Poland,2010,Net imports [Imports - Exports - Bunkers] (petajoules),1351
Poland2013,Poland,2013,Net imports [Imports - Exports - Bunkers] (petajoules),1091
Poland2014,Poland,2014,Net imports [Imports - Exports - Bunkers] (petajoules),1168
Poland2015,Poland,2015,Net imports [Imports - Exports - Bunkers] (petajoules),1196
Poland1990,Poland,1990,Changes in stocks (petajoules),43
Poland1995,Poland,1995,Changes in stocks (petajoules),-36
Poland2000,Poland,2000,Changes in stocks (petajoules),-24
Poland2005,Poland,2005,Changes in stocks (petajoules),82
Poland2010,Poland,2010,Changes in stocks (petajoules),-93
Poland2013,Poland,2013,Changes in stocks (petajoules),-61
Poland2014,Poland,2014,Changes in stocks (petajoules),21
Poland2015,Poland,2015,Changes in stocks (petajoules),31
Poland1990,Poland,1990,Total supply (petajoules),4406
Poland1995,Poland,1995,Total supply (petajoules),4256
Poland2000,Poland,2000,Total supply (petajoules),3780
Poland2005,Poland,2005,Total supply (petajoules),3886
Poland2010,Poland,2010,Total supply (petajoules),4251
Poland2013,Poland,2013,Total supply (petajoules),4122
Poland2014,Poland,2014,Total supply (petajoules),3966
Poland2015,Poland,2015,Total supply (petajoules),3999
Poland1990,Poland,1990,Supply per capita (gigajoules),116
Poland1995,Poland,1995,Supply per capita (gigajoules),111
Poland2000,Poland,2000,Supply per capita (gigajoules),99
Poland2005,Poland,2005,Supply per capita (gigajoules),102
Poland2010,Poland,2010,Supply per capita (gigajoules),110
Poland2013,Poland,2013,Supply per capita (gigajoules),107
Poland2014,Poland,2014,Supply per capita (gigajoules),103
Poland2015,Poland,2015,Supply per capita (gigajoules),104
Portugal1990,Portugal,1990,Primary energy production (petajoules),142
Portugal1995,Portugal,1995,Primary energy production (petajoules),139
Portugal2000,Portugal,2000,Primary energy production (petajoules),161
Portugal2005,Portugal,2005,Primary energy production (petajoules),151
Portugal2010,Portugal,2010,Primary energy production (petajoules),242
Portugal2013,Portugal,2013,Primary energy production (petajoules),240
Portugal2014,Portugal,2014,Primary energy production (petajoules),250
Portugal2015,Portugal,2015,Primary energy production (petajoules),222
Portugal1990,Portugal,1990,Net imports [Imports - Exports - Bunkers] (petajoules),596
Portugal1995,Portugal,1995,Net imports [Imports - Exports - Bunkers] (petajoules),714
Portugal2000,Portugal,2000,Net imports [Imports - Exports - Bunkers] (petajoules),864
Portugal2005,Portugal,2005,Net imports [Imports - Exports - Bunkers] (petajoules),969
Portugal2010,Portugal,2010,Net imports [Imports - Exports - Bunkers] (petajoules),717
Portugal2013,Portugal,2013,Net imports [Imports - Exports - Bunkers] (petajoules),631
Portugal2014,Portugal,2014,Net imports [Imports - Exports - Bunkers] (petajoules),610
Portugal2015,Portugal,2015,Net imports [Imports - Exports - Bunkers] (petajoules),692
Portugal1990,Portugal,1990,Changes in stocks (petajoules),19
Portugal1995,Portugal,1995,Changes in stocks (petajoules),12
Portugal2000,Portugal,2000,Changes in stocks (petajoules),0
Portugal2005,Portugal,2005,Changes in stocks (petajoules),16
Portugal2010,Portugal,2010,Changes in stocks (petajoules),-15
Portugal2013,Portugal,2013,Changes in stocks (petajoules),-16
Portugal2014,Portugal,2014,Changes in stocks (petajoules),-15
Portugal2015,Portugal,2015,Changes in stocks (petajoules),7
Portugal1990,Portugal,1990,Total supply (petajoules),720
Portugal1995,Portugal,1995,Total supply (petajoules),840
Portugal2000,Portugal,2000,Total supply (petajoules),1026
Portugal2005,Portugal,2005,Total supply (petajoules),1104
Portugal2010,Portugal,2010,Total supply (petajoules),975
Portugal2013,Portugal,2013,Total supply (petajoules),887
Portugal2014,Portugal,2014,Total supply (petajoules),875
Portugal2015,Portugal,2015,Total supply (petajoules),907
Portugal1990,Portugal,1990,Supply per capita (gigajoules),73
Portugal1995,Portugal,1995,Supply per capita (gigajoules),83
Portugal2000,Portugal,2000,Supply per capita (gigajoules),99
Portugal2005,Portugal,2005,Supply per capita (gigajoules),105
Portugal2010,Portugal,2010,Supply per capita (gigajoules),92
Portugal2013,Portugal,2013,Supply per capita (gigajoules),85
Portugal2014,Portugal,2014,Supply per capita (gigajoules),84
Portugal2015,Portugal,2015,Supply per capita (gigajoules),88
Puerto Rico1990,Puerto Rico,1990,Primary energy production (petajoules),1
Puerto Rico1995,Puerto Rico,1995,Primary energy production (petajoules),0
Puerto Rico2000,Puerto Rico,2000,Primary energy production (petajoules),1
Puerto Rico2005,Puerto Rico,2005,Primary energy production (petajoules),0
Puerto Rico2010,Puerto Rico,2010,Primary energy production (petajoules),0
Puerto Rico2013,Puerto Rico,2013,Primary energy production (petajoules),1
Puerto Rico2014,Puerto Rico,2014,Primary energy production (petajoules),1
Puerto Rico2015,Puerto Rico,2015,Primary energy production (petajoules),1
Puerto Rico2000,Puerto Rico,2000,Net imports [Imports - Exports - Bunkers] (petajoules),12
Puerto Rico2005,Puerto Rico,2005,Net imports [Imports - Exports - Bunkers] (petajoules),24
Puerto Rico2010,Puerto Rico,2010,Net imports [Imports - Exports - Bunkers] (petajoules),27
Puerto Rico2013,Puerto Rico,2013,Net imports [Imports - Exports - Bunkers] (petajoules),55
Puerto Rico2014,Puerto Rico,2014,Net imports [Imports - Exports - Bunkers] (petajoules),55
Puerto Rico2015,Puerto Rico,2015,Net imports [Imports - Exports - Bunkers] (petajoules),58
Puerto Rico1990,Puerto Rico,1990,Total supply (petajoules),1
Puerto Rico1995,Puerto Rico,1995,Total supply (petajoules),0
Puerto Rico2000,Puerto Rico,2000,Total supply (petajoules),13
Puerto Rico2005,Puerto Rico,2005,Total supply (petajoules),24
Puerto Rico2010,Puerto Rico,2010,Total supply (petajoules),27
Puerto Rico2013,Puerto Rico,2013,Total supply (petajoules),56
Puerto Rico2014,Puerto Rico,2014,Total supply (petajoules),56
Puerto Rico2015,Puerto Rico,2015,Total supply (petajoules),60
Puerto Rico1990,Puerto Rico,1990,Supply per capita (gigajoules),0
Puerto Rico1995,Puerto Rico,1995,Supply per capita (gigajoules),0
Puerto Rico2000,Puerto Rico,2000,Supply per capita (gigajoules),3
Puerto Rico2005,Puerto Rico,2005,Supply per capita (gigajoules),6
Puerto Rico2010,Puerto Rico,2010,Supply per capita (gigajoules),7
Puerto Rico2013,Puerto Rico,2013,Supply per capita (gigajoules),15
Puerto Rico2014,Puerto Rico,2014,Supply per capita (gigajoules),15
Puerto Rico2015,Puerto Rico,2015,Supply per capita (gigajoules),16
Qatar1990,Qatar,1990,Primary energy production (petajoules),1009
Qatar1995,Qatar,1995,Primary energy production (petajoules),1364
Qatar2000,Qatar,2000,Primary energy production (petajoules),2449
Qatar2005,Qatar,2005,Primary energy production (petajoules),3718
Qatar2010,Qatar,2010,Primary energy production (petajoules),7428
Qatar2013,Qatar,2013,Primary energy production (petajoules),9271
Qatar2014,Qatar,2014,Primary energy production (petajoules),9166
Qatar2015,Qatar,2015,Primary energy production (petajoules),9225
Qatar1990,Qatar,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-832
Qatar1995,Qatar,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-811
Qatar2000,Qatar,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-1921
Qatar2005,Qatar,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-2991
Qatar2010,Qatar,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-6261
Qatar2013,Qatar,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-7861
Qatar2014,Qatar,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-7287
Qatar2015,Qatar,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-7221
Qatar1990,Qatar,1990,Changes in stocks (petajoules),-22
Qatar1995,Qatar,1995,Changes in stocks (petajoules),0
Qatar2000,Qatar,2000,Changes in stocks (petajoules),-56
Qatar2005,Qatar,2005,Changes in stocks (petajoules),-1
Qatar2010,Qatar,2010,Changes in stocks (petajoules),3
Qatar2013,Qatar,2013,Changes in stocks (petajoules),15
Qatar2014,Qatar,2014,Changes in stocks (petajoules),29
Qatar2015,Qatar,2015,Changes in stocks (petajoules),110
Qatar1990,Qatar,1990,Total supply (petajoules),199
Qatar1995,Qatar,1995,Total supply (petajoules),553
Qatar2000,Qatar,2000,Total supply (petajoules),584
Qatar2005,Qatar,2005,Total supply (petajoules),728
Qatar2010,Qatar,2010,Total supply (petajoules),1165
Qatar2013,Qatar,2013,Total supply (petajoules),1395
Qatar2014,Qatar,2014,Total supply (petajoules),1850
Qatar2015,Qatar,2015,Total supply (petajoules),1895
Qatar1990,Qatar,1990,Supply per capita (gigajoules),420
Qatar1995,Qatar,1995,Supply per capita (gigajoules),1102
Qatar2000,Qatar,2000,Supply per capita (gigajoules),988
Qatar2005,Qatar,2005,Supply per capita (gigajoules),886
Qatar2010,Qatar,2010,Supply per capita (gigajoules),660
Qatar2013,Qatar,2013,Supply per capita (gigajoules),664
Qatar2014,Qatar,2014,Supply per capita (gigajoules),852
Qatar2015,Qatar,2015,Supply per capita (gigajoules),848
Republic of Korea1990,Republic of Korea,1990,Primary energy production (petajoules),941
Republic of Korea1995,Republic of Korea,1995,Primary energy production (petajoules),878
Republic of Korea2000,Republic of Korea,2000,Primary energy production (petajoules),1420
Republic of Korea2005,Republic of Korea,2005,Primary energy production (petajoules),1776
Republic of Korea2010,Republic of Korea,2010,Primary energy production (petajoules),1855
Republic of Korea2013,Republic of Korea,2013,Primary energy production (petajoules),1799
Republic of Korea2014,Republic of Korea,2014,Primary energy production (petajoules),2024
Republic of Korea2015,Republic of Korea,2015,Primary energy production (petajoules),2116
Republic of Korea1990,Republic of Korea,1990,Net imports [Imports - Exports - Bunkers] (petajoules),2840
Republic of Korea1995,Republic of Korea,1995,Net imports [Imports - Exports - Bunkers] (petajoules),5319
Republic of Korea2000,Republic of Korea,2000,Net imports [Imports - Exports - Bunkers] (petajoules),6505
Republic of Korea2005,Republic of Korea,2005,Net imports [Imports - Exports - Bunkers] (petajoules),6810
Republic of Korea2010,Republic of Korea,2010,Net imports [Imports - Exports - Bunkers] (petajoules),8703
Republic of Korea2013,Republic of Korea,2013,Net imports [Imports - Exports - Bunkers] (petajoules),9257
Republic of Korea2014,Republic of Korea,2014,Net imports [Imports - Exports - Bunkers] (petajoules),9192
Republic of Korea2015,Republic of Korea,2015,Net imports [Imports - Exports - Bunkers] (petajoules),9314
Republic of Korea1990,Republic of Korea,1990,Changes in stocks (petajoules),-69
Republic of Korea1995,Republic of Korea,1995,Changes in stocks (petajoules),115
Republic of Korea2000,Republic of Korea,2000,Changes in stocks (petajoules),71
Republic of Korea2005,Republic of Korea,2005,Changes in stocks (petajoules),-179
Republic of Korea2010,Republic of Korea,2010,Changes in stocks (petajoules),117
Republic of Korea2013,Republic of Korea,2013,Changes in stocks (petajoules),49
Republic of Korea2014,Republic of Korea,2014,Changes in stocks (petajoules),51
Republic of Korea2015,Republic of Korea,2015,Changes in stocks (petajoules),67
Republic of Korea1990,Republic of Korea,1990,Total supply (petajoules),3851
Republic of Korea1995,Republic of Korea,1995,Total supply (petajoules),6083
Republic of Korea2000,Republic of Korea,2000,Total supply (petajoules),7854
Republic of Korea2005,Republic of Korea,2005,Total supply (petajoules),8764
Republic of Korea2010,Republic of Korea,2010,Total supply (petajoules),10441
Republic of Korea2013,Republic of Korea,2013,Total supply (petajoules),11007
Republic of Korea2014,Republic of Korea,2014,Total supply (petajoules),11165
Republic of Korea2015,Republic of Korea,2015,Total supply (petajoules),11364
Republic of Korea1990,Republic of Korea,1990,Supply per capita (gigajoules),90
Republic of Korea1995,Republic of Korea,1995,Supply per capita (gigajoules),136
Republic of Korea2000,Republic of Korea,2000,Supply per capita (gigajoules),171
Republic of Korea2005,Republic of Korea,2005,Supply per capita (gigajoules),186
Republic of Korea2010,Republic of Korea,2010,Supply per capita (gigajoules),213
Republic of Korea2013,Republic of Korea,2013,Supply per capita (gigajoules),221
Republic of Korea2014,Republic of Korea,2014,Supply per capita (gigajoules),223
Republic of Korea2015,Republic of Korea,2015,Supply per capita (gigajoules),226
Republic of Moldova1995,Republic of Moldova,1995,Primary energy production (petajoules),4
Republic of Moldova2000,Republic of Moldova,2000,Primary energy production (petajoules),3
Republic of Moldova2005,Republic of Moldova,2005,Primary energy production (petajoules),4
Republic of Moldova2010,Republic of Moldova,2010,Primary energy production (petajoules),8
Republic of Moldova2013,Republic of Moldova,2013,Primary energy production (petajoules),12
Republic of Moldova2014,Republic of Moldova,2014,Primary energy production (petajoules),15
Republic of Moldova2015,Republic of Moldova,2015,Primary energy production (petajoules),15
Republic of Moldova1995,Republic of Moldova,1995,Net imports [Imports - Exports - Bunkers] (petajoules),184
Republic of Moldova2000,Republic of Moldova,2000,Net imports [Imports - Exports - Bunkers] (petajoules),64
Republic of Moldova2005,Republic of Moldova,2005,Net imports [Imports - Exports - Bunkers] (petajoules),85
Republic of Moldova2010,Republic of Moldova,2010,Net imports [Imports - Exports - Bunkers] (petajoules),80
Republic of Moldova2013,Republic of Moldova,2013,Net imports [Imports - Exports - Bunkers] (petajoules),75
Republic of Moldova2014,Republic of Moldova,2014,Net imports [Imports - Exports - Bunkers] (petajoules),70
Republic of Moldova2015,Republic of Moldova,2015,Net imports [Imports - Exports - Bunkers] (petajoules),69
Republic of Moldova1995,Republic of Moldova,1995,Changes in stocks (petajoules),2
Republic of Moldova2000,Republic of Moldova,2000,Changes in stocks (petajoules),0
Republic of Moldova2005,Republic of Moldova,2005,Changes in stocks (petajoules),0
Republic of Moldova2010,Republic of Moldova,2010,Changes in stocks (petajoules),-2
Republic of Moldova2013,Republic of Moldova,2013,Changes in stocks (petajoules),1
Republic of Moldova2014,Republic of Moldova,2014,Changes in stocks (petajoules),0
Republic of Moldova2015,Republic of Moldova,2015,Changes in stocks (petajoules),0
Republic of Moldova1995,Republic of Moldova,1995,Total supply (petajoules),186
Republic of Moldova2000,Republic of Moldova,2000,Total supply (petajoules),66
Republic of Moldova2005,Republic of Moldova,2005,Total supply (petajoules),89
Republic of Moldova2010,Republic of Moldova,2010,Total supply (petajoules),91
Republic of Moldova2013,Republic of Moldova,2013,Total supply (petajoules),86
Republic of Moldova2014,Republic of Moldova,2014,Total supply (petajoules),86
Republic of Moldova2015,Republic of Moldova,2015,Total supply (petajoules),84
Republic of Moldova1995,Republic of Moldova,1995,Supply per capita (gigajoules),43
Republic of Moldova2000,Republic of Moldova,2000,Supply per capita (gigajoules),16
Republic of Moldova2005,Republic of Moldova,2005,Supply per capita (gigajoules),24
Republic of Moldova2010,Republic of Moldova,2010,Supply per capita (gigajoules),22
Republic of Moldova2013,Republic of Moldova,2013,Supply per capita (gigajoules),21
Republic of Moldova2014,Republic of Moldova,2014,Supply per capita (gigajoules),21
Republic of Moldova2015,Republic of Moldova,2015,Supply per capita (gigajoules),21
R?union1990,R?union,1990,Primary energy production (petajoules),8
R?union1995,R?union,1995,Primary energy production (petajoules),9
R?union2000,R?union,2000,Primary energy production (petajoules),7
R?union2005,R?union,2005,Primary energy production (petajoules),7
R?union2010,R?union,2010,Primary energy production (petajoules),8
R?union2013,R?union,2013,Primary energy production (petajoules),9
R?union2014,R?union,2014,Primary energy production (petajoules),9
R?union2015,R?union,2015,Primary energy production (petajoules),9
R?union1990,R?union,1990,Net imports [Imports - Exports - Bunkers] (petajoules),16
R?union1995,R?union,1995,Net imports [Imports - Exports - Bunkers] (petajoules),23
R?union2000,R?union,2000,Net imports [Imports - Exports - Bunkers] (petajoules),36
R?union2005,R?union,2005,Net imports [Imports - Exports - Bunkers] (petajoules),44
R?union2010,R?union,2010,Net imports [Imports - Exports - Bunkers] (petajoules),50
R?union2013,R?union,2013,Net imports [Imports - Exports - Bunkers] (petajoules),48
R?union2014,R?union,2014,Net imports [Imports - Exports - Bunkers] (petajoules),49
R?union2015,R?union,2015,Net imports [Imports - Exports - Bunkers] (petajoules),51
R?union1990,R?union,1990,Changes in stocks (petajoules),0
R?union1995,R?union,1995,Changes in stocks (petajoules),0
R?union2000,R?union,2000,Changes in stocks (petajoules),1
R?union2005,R?union,2005,Changes in stocks (petajoules),1
R?union2010,R?union,2010,Changes in stocks (petajoules),0
R?union2013,R?union,2013,Changes in stocks (petajoules),0
R?union2014,R?union,2014,Changes in stocks (petajoules),-1
R?union2015,R?union,2015,Changes in stocks (petajoules),1
R?union1990,R?union,1990,Total supply (petajoules),24
R?union1995,R?union,1995,Total supply (petajoules),31
R?union2000,R?union,2000,Total supply (petajoules),42
R?union2005,R?union,2005,Total supply (petajoules),49
R?union2010,R?union,2010,Total supply (petajoules),58
R?union2013,R?union,2013,Total supply (petajoules),57
R?union2014,R?union,2014,Total supply (petajoules),58
R?union2015,R?union,2015,Total supply (petajoules),59
R?union1990,R?union,1990,Supply per capita (gigajoules),39
R?union1995,R?union,1995,Supply per capita (gigajoules),47
R?union2000,R?union,2000,Supply per capita (gigajoules),57
R?union2005,R?union,2005,Supply per capita (gigajoules),61
R?union2010,R?union,2010,Supply per capita (gigajoules),70
R?union2013,R?union,2013,Supply per capita (gigajoules),67
R?union2014,R?union,2014,Supply per capita (gigajoules),68
R?union2015,R?union,2015,Supply per capita (gigajoules),69
Romania1990,Romania,1990,Primary energy production (petajoules),1695
Romania1995,Romania,1995,Primary energy production (petajoules),1335
Romania2000,Romania,2000,Primary energy production (petajoules),1194
Romania2005,Romania,2005,Primary energy production (petajoules),1173
Romania2010,Romania,2010,Primary energy production (petajoules),1155
Romania2013,Romania,2013,Primary energy production (petajoules),1090
Romania2014,Romania,2014,Primary energy production (petajoules),1109
Romania2015,Romania,2015,Primary energy production (petajoules),1116
Romania1990,Romania,1990,Net imports [Imports - Exports - Bunkers] (petajoules),936
Romania1995,Romania,1995,Net imports [Imports - Exports - Bunkers] (petajoules),591
Romania2000,Romania,2000,Net imports [Imports - Exports - Bunkers] (petajoules),331
Romania2005,Romania,2005,Net imports [Imports - Exports - Bunkers] (petajoules),446
Romania2010,Romania,2010,Net imports [Imports - Exports - Bunkers] (petajoules),311
Romania2013,Romania,2013,Net imports [Imports - Exports - Bunkers] (petajoules),240
Romania2014,Romania,2014,Net imports [Imports - Exports - Bunkers] (petajoules),214
Romania2015,Romania,2015,Net imports [Imports - Exports - Bunkers] (petajoules),217
Romania1990,Romania,1990,Changes in stocks (petajoules),11
Romania1995,Romania,1995,Changes in stocks (petajoules),2
Romania2000,Romania,2000,Changes in stocks (petajoules),-8
Romania2005,Romania,2005,Changes in stocks (petajoules),-7
Romania2010,Romania,2010,Changes in stocks (petajoules),-7
Romania2013,Romania,2013,Changes in stocks (petajoules),-11
Romania2014,Romania,2014,Changes in stocks (petajoules),-4
Romania2015,Romania,2015,Changes in stocks (petajoules),-7
Romania1990,Romania,1990,Total supply (petajoules),2620
Romania1995,Romania,1995,Total supply (petajoules),1925
Romania2000,Romania,2000,Total supply (petajoules),1532
Romania2005,Romania,2005,Total supply (petajoules),1626
Romania2010,Romania,2010,Total supply (petajoules),1474
Romania2013,Romania,2013,Total supply (petajoules),1342
Romania2014,Romania,2014,Total supply (petajoules),1326
Romania2015,Romania,2015,Total supply (petajoules),1340
Romania1990,Romania,1990,Supply per capita (gigajoules),113
Romania1995,Romania,1995,Supply per capita (gigajoules),85
Romania2000,Romania,2000,Supply per capita (gigajoules),69
Romania2005,Romania,2005,Supply per capita (gigajoules),75
Romania2010,Romania,2010,Supply per capita (gigajoules),73
Romania2013,Romania,2013,Supply per capita (gigajoules),68
Romania2014,Romania,2014,Supply per capita (gigajoules),67
Romania2015,Romania,2015,Supply per capita (gigajoules),69
Russian Federation1995,Russian Federation,1995,Primary energy production (petajoules),40589
Russian Federation2000,Russian Federation,2000,Primary energy production (petajoules),41030
Russian Federation2005,Russian Federation,2005,Primary energy production (petajoules),50506
Russian Federation2010,Russian Federation,2010,Primary energy production (petajoules),53679
Russian Federation2013,Russian Federation,2013,Primary energy production (petajoules),55887
Russian Federation2014,Russian Federation,2014,Primary energy production (petajoules),55400
Russian Federation2015,Russian Federation,2015,Primary energy production (petajoules),56024
Russian Federation1995,Russian Federation,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-13397
Russian Federation2000,Russian Federation,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-14842
Russian Federation2005,Russian Federation,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-22870
Russian Federation2010,Russian Federation,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-24601
Russian Federation2013,Russian Federation,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-25405
Russian Federation2014,Russian Federation,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-24793
Russian Federation2015,Russian Federation,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-26109
Russian Federation1995,Russian Federation,1995,Changes in stocks (petajoules),472
Russian Federation2000,Russian Federation,2000,Changes in stocks (petajoules),195
Russian Federation2005,Russian Federation,2005,Changes in stocks (petajoules),298
Russian Federation2010,Russian Federation,2010,Changes in stocks (petajoules),147
Russian Federation2013,Russian Federation,2013,Changes in stocks (petajoules),225
Russian Federation2014,Russian Federation,2014,Changes in stocks (petajoules),150
Russian Federation2015,Russian Federation,2015,Changes in stocks (petajoules),75
Russian Federation1995,Russian Federation,1995,Total supply (petajoules),26720
Russian Federation2000,Russian Federation,2000,Total supply (petajoules),25994
Russian Federation2005,Russian Federation,2005,Total supply (petajoules),27338
Russian Federation2010,Russian Federation,2010,Total supply (petajoules),28932
Russian Federation2013,Russian Federation,2013,Total supply (petajoules),30258
Russian Federation2014,Russian Federation,2014,Total supply (petajoules),30457
Russian Federation2015,Russian Federation,2015,Total supply (petajoules),29841
Russian Federation1995,Russian Federation,1995,Supply per capita (gigajoules),180
Russian Federation2000,Russian Federation,2000,Supply per capita (gigajoules),177
Russian Federation2005,Russian Federation,2005,Supply per capita (gigajoules),190
Russian Federation2010,Russian Federation,2010,Supply per capita (gigajoules),202
Russian Federation2013,Russian Federation,2013,Supply per capita (gigajoules),211
Russian Federation2014,Russian Federation,2014,Supply per capita (gigajoules),212
Russian Federation2015,Russian Federation,2015,Supply per capita (gigajoules),208
Rwanda1990,Rwanda,1990,Primary energy production (petajoules),28
Rwanda1995,Rwanda,1995,Primary energy production (petajoules),48
Rwanda2000,Rwanda,2000,Primary energy production (petajoules),46
Rwanda2005,Rwanda,2005,Primary energy production (petajoules),63
Rwanda2010,Rwanda,2010,Primary energy production (petajoules),76
Rwanda2013,Rwanda,2013,Primary energy production (petajoules),83
Rwanda2014,Rwanda,2014,Primary energy production (petajoules),84
Rwanda2015,Rwanda,2015,Primary energy production (petajoules),85
Rwanda1990,Rwanda,1990,Net imports [Imports - Exports - Bunkers] (petajoules),8
Rwanda1995,Rwanda,1995,Net imports [Imports - Exports - Bunkers] (petajoules),7
Rwanda2000,Rwanda,2000,Net imports [Imports - Exports - Bunkers] (petajoules),8
Rwanda2005,Rwanda,2005,Net imports [Imports - Exports - Bunkers] (petajoules),7
Rwanda2010,Rwanda,2010,Net imports [Imports - Exports - Bunkers] (petajoules),8
Rwanda2013,Rwanda,2013,Net imports [Imports - Exports - Bunkers] (petajoules),11
Rwanda2014,Rwanda,2014,Net imports [Imports - Exports - Bunkers] (petajoules),11
Rwanda2015,Rwanda,2015,Net imports [Imports - Exports - Bunkers] (petajoules),13
Rwanda2005,Rwanda,2005,Changes in stocks (petajoules),0
Rwanda1990,Rwanda,1990,Total supply (petajoules),35
Rwanda1995,Rwanda,1995,Total supply (petajoules),54
Rwanda2000,Rwanda,2000,Total supply (petajoules),54
Rwanda2005,Rwanda,2005,Total supply (petajoules),71
Rwanda2010,Rwanda,2010,Total supply (petajoules),84
Rwanda2013,Rwanda,2013,Total supply (petajoules),94
Rwanda2014,Rwanda,2014,Total supply (petajoules),96
Rwanda2015,Rwanda,2015,Total supply (petajoules),97
Rwanda1990,Rwanda,1990,Supply per capita (gigajoules),5
Rwanda1995,Rwanda,1995,Supply per capita (gigajoules),10
Rwanda2000,Rwanda,2000,Supply per capita (gigajoules),7
Rwanda2005,Rwanda,2005,Supply per capita (gigajoules),8
Rwanda2010,Rwanda,2010,Supply per capita (gigajoules),8
Rwanda2013,Rwanda,2013,Supply per capita (gigajoules),9
Rwanda2014,Rwanda,2014,Supply per capita (gigajoules),8
Rwanda2015,Rwanda,2015,Supply per capita (gigajoules),8
Saint Helena1990,Saint Helena,1990,Primary energy production (petajoules),0
Saint Helena1995,Saint Helena,1995,Primary energy production (petajoules),0
Saint Helena2000,Saint Helena,2000,Primary energy production (petajoules),0
Saint Helena2005,Saint Helena,2005,Primary energy production (petajoules),0
Saint Helena2010,Saint Helena,2010,Primary energy production (petajoules),0
Saint Helena2013,Saint Helena,2013,Primary energy production (petajoules),0
Saint Helena2014,Saint Helena,2014,Primary energy production (petajoules),0
Saint Helena2015,Saint Helena,2015,Primary energy production (petajoules),0
Saint Helena1990,Saint Helena,1990,Net imports [Imports - Exports - Bunkers] (petajoules),0
Saint Helena1995,Saint Helena,1995,Net imports [Imports - Exports - Bunkers] (petajoules),0
Saint Helena2000,Saint Helena,2000,Net imports [Imports - Exports - Bunkers] (petajoules),0
Saint Helena2005,Saint Helena,2005,Net imports [Imports - Exports - Bunkers] (petajoules),0
Saint Helena2010,Saint Helena,2010,Net imports [Imports - Exports - Bunkers] (petajoules),0
Saint Helena2013,Saint Helena,2013,Net imports [Imports - Exports - Bunkers] (petajoules),0
Saint Helena2014,Saint Helena,2014,Net imports [Imports - Exports - Bunkers] (petajoules),0
Saint Helena2015,Saint Helena,2015,Net imports [Imports - Exports - Bunkers] (petajoules),0
Saint Helena1990,Saint Helena,1990,Total supply (petajoules),0
Saint Helena1995,Saint Helena,1995,Total supply (petajoules),0
Saint Helena2000,Saint Helena,2000,Total supply (petajoules),0
Saint Helena2005,Saint Helena,2005,Total supply (petajoules),0
Saint Helena2010,Saint Helena,2010,Total supply (petajoules),0
Saint Helena2013,Saint Helena,2013,Total supply (petajoules),0
Saint Helena2014,Saint Helena,2014,Total supply (petajoules),0
Saint Helena2015,Saint Helena,2015,Total supply (petajoules),0
Saint Helena1990,Saint Helena,1990,Supply per capita (gigajoules),17
Saint Helena1995,Saint Helena,1995,Supply per capita (gigajoules),27
Saint Helena2000,Saint Helena,2000,Supply per capita (gigajoules),36
Saint Helena2005,Saint Helena,2005,Supply per capita (gigajoules),33
Saint Helena2010,Saint Helena,2010,Supply per capita (gigajoules),38
Saint Helena2013,Saint Helena,2013,Supply per capita (gigajoules),40
Saint Helena2014,Saint Helena,2014,Supply per capita (gigajoules),39
Saint Helena2015,Saint Helena,2015,Supply per capita (gigajoules),37
